aarhus-license,aarhus-license
ca-cihi-icis,ca-cihi-icis
ca-odla-aldg,ca-odla-aldg
ca-ogl-lgo,ca-ogl-lgo
ca-rflo-drlf,ca-rflo-drlf
cc-0,cc-0-1.0
cc-by-4-fi,cc-by-4.0-fi
cc-by-4.0,cc-by-4.0
CC-BY-4.0,cc-by-4.0
cc-by-at-30,cc-by-3.0-at
CC-BY-NC-4.0,cc-by-nc-4.0
cc-by-sa-20,cc-by-sa-2.0
cc-by-sa,cc-by-sa
cc-by,cc-by
cc-by3,cc-by-3.0
cc-nc,cc-nc
cc-zero-1.0,cc-0-1.0
cc-zero,cc-0-1.0
CC0-1.0,cc-0-1.0
Creative Commons Attribution 4.0 International (CC BY 4.0),cc-by-4.0
Creative Commons Attribution-ShareAlike 4.0 International (CC BY-SA 4.0),cc-by-sa-4.0
gfdl,gfdl
helsinkikanava-opendata-tos,helsinkikanava-opendata-tos
hri-tietoaineistot-lisenssi-nimea,hri-tietoaineistot-lisenssi-nimea
is-fjarsysla-opingogn,is-fjarsysla-opingogn
is-ogl,is-ogl
is-stadfangaskra-thjodskra,is-stadfangaskra-thjodskra
notspecified,notspecified
ODbL-1.0,odc-odbl-1.0
odc-by,odc-by
odc-odbl,odc-odbl
odc-pddl,odc-pddl
odc-uy,odc-uy
opendatadk,opendatadk
other-at,other-at
other-closed,other-closed
other-forsale,other-forsale
other-license-specified,other-license-specified
other-nc,other-nc
other-open,other-open
other-pd,other-pd
other-unpublished,other-unpublished
other,other
publiek-domein,publiek-domein
uk-ogl,uk-ogl
us-pd,us-pd
